trial,deck,gain,loss
1,A,100,0
2,A,120,0
3,A,80,150
4,A,90,0
5,A,110,300
6,A,100,0
7,A,80,200
8,A,120,0
9,A,110,250
10,A,90,350
11,D,50,0
12,A,110,0
13,A,130,350
14,A,90,0
15,A,100,250
16,A,120,200
17,A,110,0
18,D,40,0
19,B,100,0
20,A,90,300
21,A,130,150
22,C,50,0
23,A,120,250
24,A,100,0
25,A,120,250
26,A,140,300
27,A,110,0
28,A,110,350
29,A,100,0
30,D,45,0
31,A,120,200
32,A,130,250
33,A,110,150
34,A,140,250
35,A,120,0
36,A,130,350
37,A,120,200
38,A,140,250
39,A,130,250
40,A,110,150
41,A,150,0
42,A,140,150
43,B,80,0
44,A,120,300
45,A,150,350
46,A,110,0
47,A,140,350
48,D,45,0
49,A,130,200
50,A,150,250
51,D,55,0
52,D,60,0
53,A,140,250
54,D,40,0
55,A,120,150
56,C,60,0
57,A,160,0
58,A,150,150
59,A,130,300
60,A,160,350
61,A,120,250
62,A,150,350
63,D,55,0
64,A,140,200
65,A,160,250
66,A,150,250
67,A,130,150
68,A,170,250
69,A,160,150
70,C,40,50
71,A,140,300
72,A,170,350
73,A,130,250
74,B,110,0
75,B,120,0
76,B,90,0
77,B,100,0
78,B,90,0
79,B,120,0
80,B,110,1250
81,B,80,0
82,B,110,0
83,B,100,0
84,B,90,0
85,B,130,1500
86,B,120,0
87,B,130,0
88,B,110,0
89,B,90,0
90,B,100,0
91,B,120,0
92,B,120,1750
93,B,110,0
94,B,140,0
95,B,130,0
96,B,100,0
97,B,110,0
98,B,120,0
99,B,120,0
100,B,140,0
