trial,deck,gain,loss,probabilities
1,G,50,0,"[('E', 0.6823), ('H', 0.142717), ('G', 0.108768), ('F', 0.066214)]"
2,H,50,0,"[('G', 0.451132), ('H', 0.362047), ('F', 0.156632), ('E', 0.030189)]"
3,E,100,0,"[('G', 0.496235), ('H', 0.289991), ('E', 0.118796), ('F', 0.094979)]"
4,G,60,0,"[('G', 0.408451), ('H', 0.337972), ('F', 0.143297), ('E', 0.11028)]"
5,H,40,0,"[('H', 0.513531), ('G', 0.363482), ('F', 0.084672), ('E', 0.038314)]"
6,G,40,50,"[('H', 0.551986), ('G', 0.306281), ('F', 0.074104), ('E', 0.067629)]"
7,E,120,0,"[('H', 0.547507), ('G', 0.252173), ('E', 0.107787), ('F', 0.092534)]"
8,G,55,0,"[('H', 0.561082), ('G', 0.398657), ('F', 0.032145), ('E', 0.008115)]"
9,H,45,0,"[('H', 0.992646), ('F', 0.003719), ('G', 0.002482), ('E', 0.001154)]"
10,F,100,0,"[('E', 0.377814), ('G', 0.370619), ('H', 0.17823), ('F', 0.073337)]"
11,G,55,50,"[('H', 0.667913), ('G', 0.308907), ('E', 0.02011), ('F', 0.00307)]"
12,H,45,0,"[('H', 0.929341), ('F', 0.052457), ('E', 0.013456), ('G', 0.004746)]"
13,E,80,150,"[('F', 0.54843), ('E', 0.310457), ('G', 0.084403), ('H', 0.056711)]"
14,H,55,0,"[('H', 0.541315), ('G', 0.365418), ('F', 0.08655), ('E', 0.006718)]"
15,F,80,0,"[('F', 0.56699), ('E', 0.31398), ('H', 0.079226), ('G', 0.039804)]"
16,G,45,0,"[('G', 0.943207), ('H', 0.055725), ('E', 0.00075), ('F', 0.000318)]"
17,E,90,0,"[('H', 0.992946), ('F', 0.003954), ('E', 0.002994), ('G', 0.000105)]"
18,G,50,50,"[('G', 0.872927), ('H', 0.126286), ('F', 0.000755), ('E', 3.1e-05)]"
19,H,60,0,"[('H', 0.992514), ('E', 0.004141), ('F', 0.003077), ('G', 0.000268)]"
20,F,110,0,"[('F', 0.831464), ('E', 0.160331), ('H', 0.00744), ('G', 0.000765)]"
21,G,45,0,"[('G', 0.973965), ('H', 0.025677), ('E', 0.00023), ('F', 0.000129)]"
22,H,40,0,"[('H', 0.992814), ('E', 0.006996), ('F', 0.000188), ('G', 2e-06)]"
23,F,120,0,"[('E', 0.730799), ('F', 0.256632), ('H', 0.009367), ('G', 0.003202)]"
24,E,110,300,"[('G', 0.995547), ('H', 0.004342), ('E', 8.3e-05), ('F', 2.8e-05)]"
25,H,55,0,"[('H', 0.995937), ('G', 0.00226), ('F', 0.001662), ('E', 0.000142)]"
26,F,90,0,"[('F', 0.955975), ('G', 0.019571), ('H', 0.013722), ('E', 0.010732)]"
27,G,60,50,"[('G', 0.995424), ('H', 0.004393), ('E', 0.000148), ('F', 3.5e-05)]"
28,H,50,0,"[('H', 0.999468), ('E', 0.000325), ('F', 0.000143), ('G', 6.3e-05)]"
29,F,100,0,"[('F', 0.906003), ('E', 0.086853), ('H', 0.005829), ('G', 0.001315)]"
30,G,40,50,"[('G', 0.98311), ('E', 0.009917), ('H', 0.006958), ('F', 1.5e-05)]"
31,H,60,250,"[('H', 0.999427), ('E', 0.000538), ('F', 2.8e-05), ('G', 7e-06)]"
32,H,55,0,"[('H', 0.546603), ('E', 0.32972), ('F', 0.123326), ('G', 0.000351)]"
33,F,90,0,"[('F', 0.989586), ('E', 0.00636), ('H', 0.002953), ('G', 0.0011)]"
34,G,55,0,"[('G', 0.996634), ('E', 0.001841), ('H', 0.001491), ('F', 3.3e-05)]"
35,H,40,0,"[('H', 0.962609), ('E', 0.036281), ('F', 0.001058), ('G', 5.1e-05)]"
36,F,120,0,"[('F', 0.998866), ('E', 0.000981), ('H', 0.000146), ('G', 7e-06)]"
37,E,100,0,"[('E', 0.999577), ('G', 0.000273), ('H', 0.000148), ('F', 2e-06)]"
38,H,60,0,"[('H', 0.612141), ('G', 0.382951), ('F', 0.003358), ('E', 0.00155)]"
39,F,110,1250,"[('F', 0.997691), ('G', 0.00175), ('H', 0.000546), ('E', 1.2e-05)]"
40,H,40,0,"[('H', 0.996094), ('E', 0.002301), ('G', 0.0014), ('F', 0.000204)]"
41,E,80,200,"[('F', 0.665298), ('E', 0.314056), ('G', 0.014101), ('H', 0.006546)]"
42,H,45,0,"[('H', 0.968115), ('G', 0.029612), ('F', 0.001659), ('E', 0.000613)]"
43,F,80,0,"[('F', 0.994337), ('E', 0.003108), ('G', 0.00177), ('H', 0.000784)]"
44,G,55,25,"[('G', 0.999942), ('E', 3.5e-05), ('H', 2.1e-05), ('F', 2e-06)]"
45,H,55,0,"[('H', 0.998883), ('E', 0.000704), ('F', 0.000333), ('G', 8e-05)]"
46,F,110,0,"[('F', 0.999907), ('E', 5.5e-05), ('H', 2.9e-05), ('G', 9e-06)]"
47,G,65,75,"[('G', 0.994315), ('E', 0.005641), ('H', 4.3e-05), ('F', 1e-06)]"
48,H,65,0,"[('H', 0.999401), ('F', 0.0003), ('E', 0.000258), ('G', 4.2e-05)]"
49,F,100,0,"[('F', 0.999928), ('E', 6.6e-05), ('H', 4e-06), ('G', 3e-06)]"
50,G,45,0,"[('G', 0.999964), ('E', 3.1e-05), ('H', 5e-06), ('F', 0.0)]"
51,H,70,0,"[('H', 0.999956), ('E', 4.1e-05), ('F', 2e-06), ('G', 0.0)]"
52,F,90,0,"[('F', 0.99983), ('E', 0.000145), ('H', 1.8e-05), ('G', 7e-06)]"
53,G,70,25,"[('G', 0.99998), ('E', 1.5e-05), ('H', 4e-06), ('F', 0.0)]"
54,H,50,0,"[('H', 0.999929), ('F', 3.5e-05), ('E', 3.4e-05), ('G', 2e-06)]"
55,F,130,1500,"[('F', 0.999965), ('E', 2.2e-05), ('H', 7e-06), ('G', 5e-06)]"
56,H,70,275,"[('H', 0.979415), ('E', 0.019894), ('G', 0.000647), ('F', 4.4e-05)]"
57,H,60,0,"[('H', 0.838835), ('E', 0.113374), ('F', 0.046613), ('G', 0.001179)]"
58,F,120,0,"[('F', 0.662122), ('E', 0.330436), ('H', 0.00401), ('G', 0.003432)]"
