trial,deck,gain,loss,probabilities
1,C,50,0,"[('A', 0.573269), ('B', 0.192573), ('C', 0.149606), ('D', 0.084552)]"
2,C,60,0,"[('A', 0.357028), ('B', 0.299682), ('D', 0.245071), ('C', 0.098219)]"
3,C,40,50,"[('C', 0.955171), ('D', 0.023272), ('A', 0.015178), ('B', 0.006379)]"
4,D,50,0,"[('C', 0.865721), ('D', 0.058613), ('A', 0.040407), ('B', 0.035258)]"
5,B,100,0,"[('D', 0.891132), ('B', 0.064079), ('C', 0.032082), ('A', 0.012707)]"
6,A,100,0,"[('B', 0.800131), ('D', 0.133472), ('C', 0.04249), ('A', 0.023907)]"
7,C,55,0,"[('B', 0.323583), ('C', 0.247399), ('A', 0.233467), ('D', 0.195552)]"
8,C,55,50,"[('C', 0.747542), ('D', 0.182992), ('B', 0.048349), ('A', 0.021117)]"
9,D,40,0,"[('C', 0.533609), ('D', 0.327633), ('B', 0.08284), ('A', 0.055918)]"
10,A,120,0,"[('B', 0.44478), ('A', 0.253148), ('C', 0.163192), ('D', 0.13888)]"
11,A,80,150,"[('C', 0.895271), ('B', 0.068623), ('A', 0.019777), ('D', 0.016329)]"
12,A,90,0,"[('D', 0.348535), ('C', 0.345485), ('A', 0.163158), ('B', 0.142821)]"
13,A,110,300,"[('C', 0.430664), ('A', 0.389625), ('D', 0.097683), ('B', 0.082028)]"
14,C,45,0,"[('D', 0.450119), ('C', 0.285024), ('B', 0.162747), ('A', 0.10211)]"
15,C,50,50,"[('C', 0.923027), ('D', 0.063298), ('B', 0.008587), ('A', 0.005088)]"
16,C,45,0,"[('C', 0.646369), ('D', 0.313586), ('A', 0.024782), ('B', 0.015264)]"
17,C,60,50,"[('C', 0.688277), ('D', 0.272604), ('A', 0.026563), ('B', 0.012556)]"
18,C,40,50,"[('C', 0.770712), ('D', 0.216211), ('B', 0.006665), ('A', 0.006412)]"
19,D,45,0,"[('C', 0.747031), ('D', 0.222729), ('A', 0.021544), ('B', 0.008697)]"
20,D,45,0,"[('D', 0.928374), ('A', 0.028444), ('C', 0.023979), ('B', 0.019202)]"
21,A,100,0,"[('D', 0.582628), ('A', 0.341463), ('B', 0.063399), ('C', 0.01251)]"
22,B,80,0,"[('A', 0.982377), ('B', 0.009434), ('D', 0.004551), ('C', 0.003638)]"
23,A,80,200,"[('B', 0.96791), ('A', 0.024461), ('C', 0.003953), ('D', 0.003676)]"
24,C,55,0,"[('C', 0.655788), ('A', 0.253671), ('D', 0.070602), ('B', 0.019938)]"
25,C,55,25,"[('C', 0.973068), ('D', 0.015288), ('A', 0.010235), ('B', 0.001409)]"
26,C,65,75,"[('C', 0.904193), ('D', 0.0916), ('A', 0.003249), ('B', 0.000957)]"
27,D,55,0,"[('C', 0.755065), ('D', 0.232141), ('A', 0.008839), ('B', 0.003956)]"
28,D,60,0,"[('D', 0.491683), ('A', 0.472634), ('B', 0.020543), ('C', 0.01514)]"
29,A,120,0,"[('A', 0.842082), ('D', 0.122866), ('B', 0.028126), ('C', 0.006926)]"
30,A,110,250,"[('A', 0.991653), ('B', 0.007101), ('C', 0.00102), ('D', 0.000227)]"
31,A,90,350,"[('C', 0.831207), ('A', 0.146902), ('D', 0.017239), ('B', 0.004652)]"
32,C,45,0,"[('C', 0.848871), ('A', 0.117282), ('D', 0.026214), ('B', 0.007633)]"
33,C,70,25,"[('C', 0.986416), ('D', 0.009825), ('A', 0.003077), ('B', 0.000682)]"
34,C,40,0,"[('C', 0.968097), ('D', 0.030861), ('A', 0.000862), ('B', 0.00018)]"
35,D,40,0,"[('D', 0.978592), ('C', 0.011324), ('A', 0.009768), ('B', 0.000316)]"
36,D,55,0,"[('D', 0.943324), ('A', 0.039701), ('C', 0.015736), ('B', 0.001239)]"
37,D,50,0,"[('D', 0.790207), ('A', 0.096676), ('C', 0.096654), ('B', 0.016463)]"
38,A,110,0,"[('A', 0.85464), ('D', 0.113299), ('B', 0.018753), ('C', 0.013308)]"
39,A,130,350,"[('A', 0.999251), ('B', 0.000613), ('C', 7.9e-05), ('D', 5.7e-05)]"
40,C,50,25,"[('C', 0.7615), ('A', 0.21816), ('D', 0.017061), ('B', 0.003279)]"
41,C,60,75,"[('C', 0.99612), ('D', 0.00324), ('A', 0.000442), ('B', 0.000198)]"
42,A,90,0,"[('D', 0.819102), ('C', 0.175225), ('A', 0.005498), ('B', 0.000174)]"
43,A,100,250,"[('A', 0.98766), ('B', 0.010633), ('C', 0.001402), ('D', 0.000305)]"
44,D,60,250,"[('C', 0.600255), ('A', 0.391109), ('D', 0.005241), ('B', 0.003396)]"
45,A,120,200,"[('C', 0.909909), ('A', 0.082129), ('D', 0.006164), ('B', 0.001797)]"
46,C,70,0,"[('C', 0.769395), ('A', 0.179603), ('D', 0.036254), ('B', 0.014749)]"
47,D,55,0,"[('C', 0.962609), ('A', 0.018094), ('D', 0.017154), ('B', 0.002143)]"
48,D,40,0,"[('D', 0.908437), ('C', 0.080511), ('A', 0.010096), ('B', 0.000956)]"
49,D,60,0,"[('D', 0.952493), ('C', 0.02295), ('A', 0.022315), ('B', 0.002242)]"
50,A,110,0,"[('A', 0.876119), ('D', 0.117512), ('C', 0.004966), ('B', 0.001403)]"
51,A,90,300,"[('A', 0.999565), ('C', 0.000255), ('B', 0.000169), ('D', 1.1e-05)]"
52,C,40,50,"[('C', 0.990321), ('D', 0.004566), ('A', 0.003884), ('B', 0.001229)]"
53,C,60,0,"[('C', 0.925687), ('D', 0.06899), ('A', 0.00517), ('B', 0.000153)]"
54,D,40,0,"[('D', 0.889756), ('C', 0.092792), ('A', 0.017316), ('B', 0.000135)]"
55,D,45,0,"[('D', 0.976406), ('A', 0.017788), ('C', 0.004771), ('B', 0.001035)]"
56,D,55,0,"[('D', 0.991589), ('C', 0.005506), ('A', 0.002484), ('B', 0.000422)]"
57,D,65,0,"[('D', 0.981356), ('A', 0.011175), ('B', 0.006751), ('C', 0.000718)]"
