trial,deck,gain,loss,probabilities
1,G,50,0,"[('E', 0.453832), ('G', 0.234023), ('H', 0.230126), ('F', 0.082019)]"
2,G,60,0,"[('H', 0.380833), ('G', 0.362595), ('F', 0.179465), ('E', 0.077107)]"
3,G,40,50,"[('G', 0.884826), ('H', 0.067228), ('E', 0.034788), ('F', 0.013157)]"
4,H,50,0,"[('G', 0.619582), ('H', 0.252232), ('E', 0.073511), ('F', 0.054676)]"
5,G,55,0,"[('H', 0.860974), ('E', 0.075995), ('F', 0.038945), ('G', 0.024086)]"
6,H,40,0,"[('G', 0.653021), ('H', 0.264744), ('F', 0.042173), ('E', 0.040062)]"
7,H,45,0,"[('H', 0.767109), ('G', 0.168238), ('E', 0.042286), ('F', 0.022368)]"
8,H,45,0,"[('H', 0.948196), ('E', 0.018799), ('G', 0.018079), ('F', 0.014926)]"
9,H,55,0,"[('H', 0.996502), ('F', 0.001441), ('G', 0.001389), ('E', 0.000668)]"
10,H,60,0,"[('H', 0.989233), ('F', 0.005004), ('G', 0.003018), ('E', 0.002745)]"
11,H,40,0,"[('H', 0.999228), ('E', 0.000464), ('G', 0.000243), ('F', 6.5e-05)]"
12,H,55,0,"[('H', 0.995289), ('E', 0.002824), ('G', 0.001057), ('F', 0.000829)]"
13,H,50,0,"[('H', 0.996302), ('E', 0.002112), ('G', 0.000988), ('F', 0.000598)]"
14,H,60,250,"[('H', 0.999563), ('E', 0.000308), ('G', 0.000101), ('F', 2.7e-05)]"
15,F,100,0,"[('H', 0.966306), ('F', 0.012991), ('E', 0.01165), ('G', 0.009052)]"
16,H,55,0,"[('F', 0.73156), ('E', 0.167578), ('H', 0.055409), ('G', 0.045453)]"
17,H,40,0,"[('H', 0.85012), ('F', 0.076625), ('E', 0.056253), ('G', 0.017002)]"
18,H,60,0,"[('H', 0.992767), ('F', 0.004363), ('E', 0.001605), ('G', 0.001265)]"
19,E,100,0,"[('H', 0.990609), ('F', 0.006375), ('E', 0.001584), ('G', 0.001432)]"
20,E,120,0,"[('E', 0.805541), ('H', 0.108676), ('G', 0.05008), ('F', 0.035702)]"
21,E,80,150,"[('E', 0.965524), ('H', 0.014836), ('G', 0.012698), ('F', 0.006941)]"
22,E,90,0,"[('E', 0.769456), ('F', 0.137841), ('H', 0.05378), ('G', 0.038924)]"
23,E,110,300,"[('E', 0.98806), ('H', 0.007692), ('F', 0.002428), ('G', 0.001819)]"
24,F,80,0,"[('E', 0.632868), ('F', 0.237728), ('H', 0.095506), ('G', 0.033898)]"
25,F,110,0,"[('F', 0.802133), ('H', 0.103548), ('G', 0.058975), ('E', 0.035345)]"
