trial,deck,gain,loss,probabilities
1,B,100,0,"[('A', 0.560156), ('B', 0.214999), ('D', 0.159538), ('C', 0.065307)]"
2,A,100,0,"[('A', 0.517423), ('C', 0.26989), ('B', 0.118227), ('D', 0.09446)]"
3,C,50,0,"[('A', 0.293553), ('B', 0.245482), ('C', 0.235491), ('D', 0.225473)]"
4,D,50,0,"[('D', 0.764672), ('B', 0.122984), ('C', 0.062045), ('A', 0.0503)]"
5,B,80,0,"[('C', 0.371016), ('D', 0.31544), ('B', 0.287663), ('A', 0.025882)]"
6,D,40,0,"[('C', 0.52921), ('D', 0.278678), ('B', 0.125855), ('A', 0.066258)]"
7,A,120,0,"[('C', 0.560225), ('B', 0.185036), ('D', 0.14554), ('A', 0.109199)]"
8,B,110,0,"[('C', 0.625226), ('B', 0.253402), ('D', 0.11013), ('A', 0.011241)]"
9,C,60,0,"[('C', 0.81102), ('D', 0.102095), ('B', 0.073231), ('A', 0.013654)]"
10,B,120,0,"[('D', 0.706835), ('B', 0.241979), ('A', 0.033434), ('C', 0.017752)]"
11,C,40,50,"[('D', 0.482644), ('C', 0.349772), ('A', 0.131437), ('B', 0.036147)]"
12,A,80,150,"[('B', 0.421008), ('D', 0.363733), ('A', 0.141982), ('C', 0.073277)]"
13,C,55,0,"[('B', 0.451275), ('C', 0.432672), ('D', 0.089027), ('A', 0.027026)]"
14,C,55,50,"[('D', 0.543596), ('B', 0.266366), ('C', 0.104853), ('A', 0.085185)]"
15,C,45,0,"[('C', 0.444634), ('A', 0.300171), ('B', 0.14676), ('D', 0.108436)]"
16,A,90,0,"[('C', 0.471978), ('D', 0.287921), ('A', 0.162364), ('B', 0.077737)]"
17,B,90,0,"[('B', 0.517266), ('A', 0.413547), ('D', 0.037293), ('C', 0.031893)]"
18,D,45,0,"[('D', 0.484424), ('B', 0.429438), ('C', 0.062449), ('A', 0.023689)]"
19,D,45,0,"[('B', 0.609244), ('A', 0.252533), ('D', 0.096302), ('C', 0.041921)]"
20,A,110,300,"[('B', 0.403616), ('A', 0.356728), ('D', 0.174948), ('C', 0.064708)]"
21,D,55,0,"[('C', 0.597063), ('B', 0.304313), ('A', 0.071226), ('D', 0.027397)]"
22,B,100,0,"[('C', 0.372152), ('A', 0.301079), ('B', 0.271148), ('D', 0.055621)]"
23,D,60,0,"[('D', 0.869754), ('A', 0.080991), ('C', 0.032805), ('B', 0.016451)]"
24,D,40,0,"[('A', 0.494489), ('D', 0.393634), ('B', 0.069803), ('C', 0.042074)]"
25,A,100,0,"[('A', 0.644942), ('D', 0.277725), ('B', 0.042401), ('C', 0.034932)]"
26,B,90,0,"[('B', 0.996349), ('C', 0.002145), ('A', 0.000998), ('D', 0.000508)]"
27,D,55,0,"[('D', 0.63633), ('C', 0.293117), ('B', 0.049436), ('A', 0.021117)]"
28,D,50,0,"[('D', 0.731653), ('C', 0.216946), ('A', 0.043369), ('B', 0.008032)]"
29,A,80,200,"[('A', 0.932497), ('D', 0.044529), ('C', 0.0175), ('B', 0.005474)]"
30,C,50,50,"[('C', 0.47505), ('A', 0.257244), ('D', 0.154158), ('B', 0.113548)]"
31,C,45,0,"[('C', 0.960609), ('A', 0.037191), ('B', 0.001437), ('D', 0.000763)]"
32,A,120,0,"[('A', 0.974136), ('C', 0.020234), ('D', 0.004751), ('B', 0.000878)]"
33,B,120,0,"[('B', 0.998955), ('A', 0.000569), ('C', 0.000291), ('D', 0.000185)]"
34,D,60,250,"[('D', 0.922035), ('B', 0.058139), ('C', 0.011281), ('A', 0.008545)]"
35,A,110,250,"[('A', 0.784505), ('C', 0.149181), ('D', 0.054101), ('B', 0.012212)]"
36,C,60,50,"[('C', 0.75273), ('A', 0.146099), ('D', 0.066996), ('B', 0.034175)]"
37,C,40,50,"[('C', 0.743337), ('A', 0.220632), ('D', 0.032997), ('B', 0.003033)]"
38,C,55,0,"[('C', 0.613497), ('A', 0.378132), ('D', 0.006473), ('B', 0.001899)]"
39,A,90,350,"[('A', 0.871764), ('C', 0.085201), ('D', 0.03372), ('B', 0.009315)]"
40,C,55,25,"[('C', 0.57955), ('D', 0.317308), ('A', 0.06191), ('B', 0.041232)]"
41,A,110,0,"[('C', 0.727444), ('A', 0.268622), ('B', 0.002169), ('D', 0.001765)]"
42,B,110,1250,"[('B', 0.999991), ('D', 5e-06), ('C', 3e-06), ('A', 1e-06)]"
43,C,65,75,"[('C', 0.695426), ('A', 0.269263), ('D', 0.025751), ('B', 0.00956)]"
44,A,130,350,"[('C', 0.71371), ('A', 0.270252), ('B', 0.012297), ('D', 0.003741)]"
45,C,45,0,"[('C', 0.808142), ('A', 0.142325), ('D', 0.035984), ('B', 0.01355)]"
46,A,90,0,"[('A', 0.971273), ('C', 0.022921), ('D', 0.005131), ('B', 0.000675)]"
47,B,80,0,"[('B', 0.960314), ('D', 0.025203), ('A', 0.00751), ('C', 0.006974)]"
48,D,55,0,"[('D', 0.928013), ('B', 0.06932), ('A', 0.002056), ('C', 0.000611)]"
49,D,40,0,"[('D', 0.964059), ('B', 0.017108), ('A', 0.010277), ('C', 0.008556)]"
50,A,100,250,"[('A', 0.997759), ('D', 0.001595), ('B', 0.000417), ('C', 0.000229)]"
51,C,70,25,"[('C', 0.9939), ('D', 0.003504), ('B', 0.001553), ('A', 0.001043)]"
52,A,120,200,"[('A', 0.991009), ('C', 0.008303), ('B', 0.000383), ('D', 0.000305)]"
53,C,40,0,"[('C', 0.907595), ('B', 0.064527), ('A', 0.023036), ('D', 0.004841)]"
54,A,110,0,"[('A', 0.988885), ('D', 0.005224), ('C', 0.004056), ('B', 0.001836)]"
55,B,110,0,"[('B', 0.999997), ('A', 1e-06), ('D', 1e-06), ('C', 1e-06)]"
56,B,100,0,"[('D', 0.976716), ('B', 0.018486), ('C', 0.004435), ('A', 0.000363)]"
57,D,60,0,"[('D', 0.869189), ('B', 0.124864), ('C', 0.004491), ('A', 0.001456)]"
58,B,90,0,"[('D', 0.932633), ('A', 0.029945), ('B', 0.020314), ('C', 0.017108)]"
59,D,40,0,"[('D', 0.881369), ('C', 0.073079), ('B', 0.041296), ('A', 0.004255)]"
60,A,90,300,"[('A', 0.984056), ('D', 0.009119), ('C', 0.005802), ('B', 0.001023)]"
61,C,50,25,"[('C', 0.998744), ('A', 0.000491), ('D', 0.000389), ('B', 0.000376)]"
62,C,60,75,"[('A', 0.955659), ('C', 0.043591), ('B', 0.000596), ('D', 0.000154)]"
63,C,70,0,"[('C', 0.980983), ('A', 0.018356), ('B', 0.000418), ('D', 0.000244)]"
64,A,130,150,"[('A', 0.994464), ('D', 0.002827), ('B', 0.002628), ('C', 8.1e-05)]"
65,C,40,50,"[('C', 0.618765), ('B', 0.379304), ('A', 0.001078), ('D', 0.000852)]"
66,C,60,0,"[('A', 0.519871), ('C', 0.479389), ('B', 0.000532), ('D', 0.000208)]"
67,A,120,250,"[('A', 0.961307), ('D', 0.032389), ('B', 0.00612), ('C', 0.000184)]"
68,C,65,25,"[('C', 0.996863), ('B', 0.002946), ('D', 0.000146), ('A', 4.5e-05)]"
69,C,55,0,"[('A', 0.990341), ('C', 0.009072), ('B', 0.00051), ('D', 7.7e-05)]"
70,A,100,0,"[('A', 0.999529), ('D', 0.000195), ('B', 0.000159), ('C', 0.000117)]"
71,B,130,1500,"[('B', 0.999916), ('D', 8.1e-05), ('A', 1e-06), ('C', 1e-06)]"
72,C,80,50,"[('C', 0.98559), ('A', 0.014056), ('B', 0.000182), ('D', 0.000171)]"
73,A,120,250,"[('A', 0.781454), ('C', 0.217761), ('B', 0.000467), ('D', 0.000318)]"
74,C,40,25,"[('C', 0.999819), ('A', 0.000126), ('B', 3.5e-05), ('D', 2e-05)]"
75,A,140,300,"[('A', 0.986348), ('C', 0.013523), ('B', 9.1e-05), ('D', 3.8e-05)]"
76,C,60,50,"[('C', 0.999368), ('A', 0.000386), ('B', 0.000145), ('D', 0.000101)]"
77,A,110,0,"[('A', 0.916526), ('C', 0.083176), ('B', 0.00018), ('D', 0.000117)]"
78,B,120,0,"[('B', 0.999988), ('C', 7e-06), ('D', 2e-06), ('A', 2e-06)]"
79,B,130,0,"[('B', 0.595139), ('D', 0.392092), ('C', 0.010872), ('A', 0.001897)]"
80,B,110,0,"[('B', 0.639893), ('D', 0.358622), ('C', 0.00089), ('A', 0.000596)]"
81,B,90,0,"[('B', 0.911442), ('D', 0.086469), ('C', 0.001872), ('A', 0.000217)]"
82,B,100,0,"[('D', 0.519692), ('B', 0.479838), ('C', 0.00039), ('A', 8e-05)]"
83,B,120,0,"[('B', 0.951561), ('D', 0.048262), ('C', 0.000132), ('A', 4.5e-05)]"
84,B,120,1750,"[('B', 0.997045), ('D', 0.002347), ('C', 0.000593), ('A', 1.6e-05)]"
85,C,55,0,"[('C', 0.963592), ('A', 0.035189), ('B', 0.000823), ('D', 0.000396)]"
86,A,110,350,"[('A', 0.799512), ('C', 0.198743), ('B', 0.001044), ('D', 0.000701)]"
87,C,65,25,"[('C', 0.842009), ('A', 0.148911), ('D', 0.005919), ('B', 0.003162)]"
88,A,100,0,"[('A', 0.972787), ('C', 0.024983), ('D', 0.002106), ('B', 0.000124)]"
89,B,110,0,"[('B', 0.94849), ('C', 0.045435), ('A', 0.005858), ('D', 0.000217)]"
90,B,140,0,"[('B', 0.996056), ('D', 0.002991), ('C', 0.000906), ('A', 4.6e-05)]"
91,B,130,0,"[('B', 0.99715), ('D', 0.002267), ('C', 0.000567), ('A', 1.6e-05)]"
92,B,100,0,"[('B', 0.999113), ('D', 0.000624), ('C', 0.000235), ('A', 2.7e-05)]"
93,B,110,0,"[('B', 0.998348), ('D', 0.001358), ('C', 0.000283), ('A', 1.1e-05)]"
94,B,120,0,"[('B', 0.999648), ('D', 0.000228), ('C', 0.000111), ('A', 1.3e-05)]"
95,B,120,0,"[('B', 0.99979), ('A', 9.5e-05), ('C', 6.1e-05), ('D', 5.3e-05)]"
96,B,140,0,"[('B', 0.999888), ('D', 5.9e-05), ('C', 3e-05), ('A', 2.3e-05)]"
97,B,110,0,"[('B', 0.999575), ('D', 0.000224), ('C', 0.000144), ('A', 5.7e-05)]"
98,B,130,0,"[('B', 0.99931), ('C', 0.000589), ('D', 7.2e-05), ('A', 2.8e-05)]"
99,B,140,2000,"[('B', 0.999853), ('A', 7.3e-05), ('C', 4.2e-05), ('D', 3.3e-05)]"
100,C,40,75,"[('C', 0.99416), ('A', 0.005632), ('D', 0.000105), ('B', 0.000102)]"
